DPC/ISR Enter Time (s),Type,Duration (Fragmented) (ms)
"0,081234000",Interrupt,"0,010900"
"0,081246100",DPC,"0,022600"
"0,155697000",Interrupt,"0,004300"
"0,155794700",DPC,"0,007200"
"0,155817200",Interrupt,"0,002000"
"0,155847800",DPC,
"0,464234500",Interrupt,"0,004400"
"0,464240100",DPC,"0,028700"
"0,483234000",Interrupt,"0,003000"
"0,483238200",DPC,"0,014600"
"0,964235000",Interrupt,"0,004200"
"0,964240400",DPC,
"0,983234800",Interrupt,"0,002800"
"0,983238700",DPC,"0,014500"
"1,464235500",Interrupt,"0,004500"
"1,464241300",DPC,"0,029100"
"1,483259000",Interrupt,"0,004400"
"1,483280600",DPC,"0,012900"
"1,964236200",Interrupt,"0,004800"
"1,964242200",DPC,"0,028600"
"1,983236200",Interrupt,"0,003200"
"1,983240600",DPC,
"2,464236500",Interrupt,"0,004600"
"2,464242300",DPC,"0,028500"
"2,483237300",Interrupt,"0,002800"
"2,483241300",DPC,"0,014000"
"2,964236800",Interrupt,"0,004100"
"2,964242100",DPC,"0,028300"
"2,983274500",Interrupt,"0,002600"
"2,983306300",DPC,"0,019000"
"3,464237300",Interrupt,"0,004200"
"3,464242600",DPC,"0,029400"
"3,483237400",Interrupt,"0,002900"
"3,483241500",DPC,"0,014100"
"3,964238300",Interrupt,"0,004500"
"3,964243900",DPC,
"3,983237600",Interrupt,"0,002700"
"3,983241500",DPC,"0,014200"
"4,464245700",Interrupt,"0,004200"
"4,464271300",DPC,"0,025300"
"4,483243600",Interrupt,"0,002600"
"4,483253200",DPC,"0,019100"
"4,964250000",Interrupt,"0,005600"
"4,964273600",DPC,"0,023500"
"4,983238400",Interrupt,"0,002800"
"4,983242400",DPC,"0,014900"
"5,464239300",Interrupt,"0,004300"
"5,464244800",DPC,"0,029500"
"5,483239200",Interrupt,"0,004500"
"5,483244900",DPC,"0,015100"
"5,964252000",Interrupt,"0,003700"
"5,964263100",DPC,"0,024300"
"5,983239700",Interrupt,"0,002900"
"5,983258700",DPC,"0,015000"
"6,464240300",Interrupt,"0,004500"
"6,464245900",DPC,
"6,483240200",Interrupt,"0,002700"
"6,483244100",DPC,"0,014100"
"6,964240600",Interrupt,"0,004200"
"6,964246000",DPC,
"6,983240500",Interrupt,"0,003500"
"6,983245200",DPC,"0,015700"
"7,464241100",Interrupt,"0,004900"
"7,464247100",DPC,"0,029000"
"7,483240800",Interrupt,"0,003200"
"7,483245300",DPC,"0,018100"
"7,964253000",Interrupt,"0,003600"
"7,964314800",DPC,"0,028000"
"7,983240900",Interrupt,"0,003200"
"7,983246300",DPC,"0,014400"
"8,464242300",Interrupt,"0,004700"
"8,464248200",DPC,"0,030700"
"8,483242400",Interrupt,"0,002700"
"8,483252400",DPC,"0,014000"
"8,964242700",Interrupt,"0,005000"
"8,964249200",DPC,"0,036600"
"8,983243100",Interrupt,"0,003500"
