DPC/ISR Enter Time (s),Type,Duration (Fragmented) (ms)
"0,147559100",Interrupt,"0,003900"
"0,147564100",DPC,"0,002300"
"0,147683600",Interrupt,"0,002000"
"0,147686700",DPC,"0,005500"
"0,462721100",Interrupt,"0,003500"
"0,462725800",DPC,"0,013200"
"0,481721100",Interrupt,"0,002400"
"0,481724600",DPC,"0,010100"
"0,962722100",Interrupt,"0,003100"
"0,962726300",DPC,"0,013000"
"0,981721600",Interrupt,"0,004000"
"0,981727100",DPC,"0,011200"
"1,462722000",Interrupt,"0,004300"
"1,462727800",DPC,"0,015200"
"1,481721900",Interrupt,"0,004100"
"1,481727200",DPC,"0,015700"
"1,962722400",Interrupt,"0,003200"
"1,962739600",DPC,"0,018700"
"1,981722300",Interrupt,"0,002700"
"1,981726200",DPC,"0,011000"
"2,462723100",Interrupt,"0,003000"
"2,462727300",DPC,"0,012300"
"2,481723000",Interrupt,"0,002400"
"2,481726600",DPC,"0,009900"
"2,962723500",Interrupt,"0,002900"
"2,962727500",DPC,"0,012200"
"2,981724500",Interrupt,"0,002500"
"2,981728100",DPC,"0,008900"
"3,462727800",Interrupt,"0,003300"
"3,462732300",DPC,"0,013300"
"3,481723900",Interrupt,"0,002100"
"3,481727200",DPC,"0,007200"
"3,962724900",Interrupt,"0,002900"
"3,962729000",DPC,"0,012000"
"3,981724300",Interrupt,"0,002300"
"3,981727800",DPC,"0,008000"
"4,462725100",Interrupt,"0,003100"
"4,462729500",DPC,"0,012200"
"4,481724900",Interrupt,"0,002200"
"4,481728300",DPC,"0,007200"
"4,962725500",Interrupt,"0,002800"
"4,962729400",DPC,"0,012700"
"4,981725100",Interrupt,"0,002500"
"4,981728800",DPC,"0,010100"
"5,462727100",Interrupt,"0,003200"
"5,462731400",DPC,"0,014000"
"5,481725800",Interrupt,"0,002500"
"5,481729500",DPC,"0,012500"
"5,962726400",Interrupt,"0,002900"
"5,962730500",DPC,"0,012900"
"5,981726500",Interrupt,"0,002500"
"5,981730100",DPC,"0,008400"
"6,462726800",Interrupt,"0,002900"
"6,462730800",DPC,"0,012400"
"6,481726900",Interrupt,"0,002200"
"6,481730300",DPC,"0,007900"
